Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,20,0,2900.0,2922.2266438496263,1787.4889169997914,4222.228859000097,865.0,0.16767733544861177,0.0,3000,3400,3600,3600,3600,4200,4200,4200,4200,4200,4200
POST,POST /ingest/batch,8626,0,240.0,264.6629389137363,161.79555099915888,4419.480836999355,724.0,72.31923477898626,0.0,240,260,290,310,370,420,490,540,1900,4400,4400
,Aggregated,8646,0,240.0,270.81043765288973,161.79555099915888,4419.480836999355,724.3261623872311,72.48691211443487,0.0,240,260,290,310,370,430,500,570,3600,4400,4400
